#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.219962216230000251e+01,2.500000000000000000e+00,4.462798726010567485e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000000e+01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.280065684970000461e+01,3.000000000000000000e+00,3.255712807218800187e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000000e+01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.379525642149999953e+02,3.500000000000000000e+00,2.502633071186221247e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000000e+01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.192677187240000052e+02,4.000000000000000000e+00,2.031711042252618782e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000000e+01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.374826584959999991e+02,4.500000000000000000e+00,1.517622767354471769e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000000e+01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.502582783139999378e+01,2.500000000000000000e+00,4.695263534926752413e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000711e+01
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.017266063819999999e+02,3.000000000000000000e+00,2.639311034341865536e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000711e+01
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.116753544000000034e+02,3.500000000000000000e+00,2.387751726000500341e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000711e+01
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256091387379999986e+02,4.000000000000000000e+00,1.989484578544101101e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000711e+01
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.129589316160000010e+02,4.500000000000000000e+00,1.750333429489914883e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000711e+01
1.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,5.848290511519999768e+01,2.500000000000000000e+00,4.834183518888417019e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000000e+01
1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.068422841960000369e+01,3.000000000000000000e+00,3.380087777667537985e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000000e+01
1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.383410677480000004e+02,3.500000000000000000e+00,2.168586665879731701e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000000e+01
1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.488444392600000299e+01,4.000000000000000000e+00,2.116548673781613932e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000000e+01
1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.216693617140000043e+02,4.500000000000000000e+00,1.650600784987703351e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000000e+01
1.500000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.712407501520000608e+01,2.500000000000000000e+00,4.801858399177387327e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000355e+01
1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.030291959660000600e+01,3.000000000000000000e+00,3.572545888061240849e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000355e+01
1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.361592036389999976e+02,3.500000000000000000e+00,2.468792093977584923e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000355e+01
