#  Detector,Energy,Pixel,Amplitude,Center,Width,Background,lowerBin,upperBin,A4Offset
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.276546953145070347e+03,1.864910156665668950e+01,1.772666098501665566e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.750000000000000000e+01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.254145745229704971e+03,1.864910156665668950e+01,1.286802661514307555e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.500000000000000711e+01
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.720752224700358056e+03,1.864910156665668950e+01,1.154736766476103682e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.250000000000000000e+01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.869288293003971376e+03,1.864910156665668950e+01,1.182303346117594467e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000355e+01
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.820105053437583820e+03,1.864910156665668950e+01,1.184251732101108567e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.750000000000000000e+01
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.673638713684272261e+03,1.864910156665668950e+01,1.103247003963857109e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000355e+01
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.800303065233935740e+03,1.864910156665668950e+01,1.107810955838630873e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.250000000000000355e+01
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.898399479267420702e+03,1.864910156665668950e+01,1.199102798506173073e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000355e+01
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.798481102900731230e+03,1.864910156665668950e+01,1.134032136456182949e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.750000000000000355e+01
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.642222241658403163e+03,1.864910156665668950e+01,1.103556016192413614e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000178e+01
